doc_id,title,path,published,summary,matched_query,xml_link,status,http_code,file
wsi_2021_334,The Climate Change (Net Welsh Emissions Account Credit Limit) (Wales) Regulations 2021 / Rheoliadau Newid yn yr Hinsawdd (Terfyn Credyd Cyfrif Allyriadau Net Cymru) (Cymru) 2021,wsi/2021/334,2021-03-18T04:01:27.133942+01:00,"These Regulations set a limit on the amount of carbon units that may be credited to the net Welsh emissions account in accordance with section 33(4) of the Environment (Wales) Act 2016 (“the Act”).,Mae’r Rheoliadau hyn yn gosod terfyn ar swm yr unedau carbon y caniateir eu credydu i gyfrif allyriadau net Cymru yn unol ag adran 33(4) o Ddeddf yr Amgylchedd (Cymru) 2016 (“y Ddeddf”).",uksi:climate change,http://www.legislation.gov.uk/wsi/2021/334/made/data.xml,success,200,corpus_raw\wsi_2021_334.xml
wsi_2021_332,The Climate Change (Carbon Budgets) (Wales) (Amendment) Regulations 2021 / Rheoliadau Newid yn yr Hinsawdd (Cyllidebau Carbon) (Cymru) (Diwygio) 2021,wsi/2021/332,2021-03-18T04:01:07.269795+01:00,,uksi:climate change;uksi:carbon,http://www.legislation.gov.uk/wsi/2021/332/made/data.xml,success,200,corpus_raw\wsi_2021_332.xml
uksi_2020_958,The Climate Change Agreements (Administration and Eligible Facilities) (Amendment) Regulations 2020,uksi/2020/958,2020-09-09T03:00:48.387865+01:00,These Regulations extend the scheme providing for a reduced rate of Climate Change Levy until 31st March 2025. Part IV of Schedule 6 to the Finance Act 2000 makes provision for a reduced rate of Climate Change Levy to be charged if a facility which receives supplies of energy is certified as being covered by a Climate Change Agreement for a certification period.,uksi:climate change,http://www.legislation.gov.uk/uksi/2020/958/made/data.xml,success,200,corpus_raw\uksi_2020_958.xml
uksi_2020_711,"The Climate Change Agreements, CRC Energy Efficiency Scheme and Energy Savings Opportunity Scheme (Amendment) (EU Exit) Regulations 2020",uksi/2020/711,2020-07-09T14:35:08.920823+01:00,"These Regulations are made in exercise of the powers conferred by section41(1) of, and paragraph12(b) of Schedule 4 to, the European Union (Withdrawal Agreement) Act2020 (c. 1) in order to replace references to “exit day” with references to “IP completion day”.",uksi:climate change;uksi:energy efficiency,http://www.legislation.gov.uk/uksi/2020/711/made/data.xml,success,200,corpus_raw\uksi_2020_711.xml
uksi_2019_1056,The Climate Change Act 2008 (2050 Target Amendment) Order 2019,uksi/2019/1056,2019-06-27T10:31:20.114147+01:00,Article 2 of this Order amends section 1 of the Climate Change Act 2008 (c. 27) by altering the percentage amount in subsection (1). Section 1(1) imposes a duty on the Secretary of State as to the level of the  “net UK carbon account” (the amount of net UK emissions of targeted greenhouse gases for a period adjusted by the amount of carbon units credited or debited to the account) for the year 2050. The duty is to ensure that the net UK carbon account is lower than the  “1990 baseline” (the baseline of net UK emissions of targeted greenhouse gases against which the percentage amount in subsection 1(1) is applied) by a minimum percentage amount.,uksi:climate change,http://www.legislation.gov.uk/uksi/2019/1056/made/data.xml,success,200,corpus_raw\uksi_2019_1056.xml
wsi_2018_1305,The Climate Change (Net Welsh Emissions Account Credit Limit) (Wales) Regulations 2018 / Rheoliadau Newid yn yr Hinsawdd (Terfyn Credyd Cyfrif Allyriadau Net Cymru) (Cymru) 2018,wsi/2018/1305,2018-12-06T04:02:47.518316+01:00,"These Regulations set a limit on the amount of carbon units that may be credited to the net Welsh emissions account in accordance with section 33(4) of the Environment (Wales) Act 2016.,Mae’r Rheoliadau hyn yn gosod terfyn ar swm yr unedau carbon y caniateir eu credydu i gyfrif allyriadau net Cymru yn unol ag adran 33(4) o Ddeddf yr Amgylchedd (Cymru) 2016.",uksi:climate change,http://www.legislation.gov.uk/wsi/2018/1305/made/data.xml,success,200,corpus_raw\wsi_2018_1305.xml
wsi_2018_1304,The Climate Change (Interim Emissions Targets) (Wales) Regulations 2018 / Rheoliadau Newid yn yr Hinsawdd (Targedau Allyriadau Interim) (Cymru) 2018,wsi/2018/1304,2018-12-06T04:02:38.834281+01:00,"These Regulations make provision for interim emissions targets under Part 2 of the Environment (Wales) Act 2016.,Mae’r Rheoliadau hyn yn gwneud darpariaeth ar gyfer targedau allyriadau interim o dan Ran 2 o Ddeddf yr Amgylchedd (Cymru) 2016.",uksi:climate change,http://www.legislation.gov.uk/wsi/2018/1304/2021-03-19/data.xml,success,200,corpus_raw\wsi_2018_1304.xml
wsi_2018_1303,The Climate Change (Carbon Budgets) (Wales) Regulations 2018 / Rheoliadau Newid yn yr Hinsawdd (Cyllidebau Carbon) (Cymru) 2018,wsi/2018/1303,2018-12-06T04:02:27.513584+01:00,"These Regulations provide for a maximum total amount for the net Welsh emissions account (a carbon budget) for the first two budgetary periods, 2016-2020 and 2021- 2025, provided for in section 31(3) of the Environment (Wales) Act 2016.,Mae’r Rheoliadau hyn yn darparu cyfanswm uchaf ar gyfer cyfrif allyriadau net Cymru (cyllideb garbon) am y ddau gyfnod cyllidebol cyntaf, 2016-2020 a 2021-2025, y darperir ar eu cyfer yn adran 31(3) o Ddeddf yr Amgylchedd (Cymru) 2016.",uksi:climate change;uksi:carbon,http://www.legislation.gov.uk/wsi/2018/1303/2021-03-19/data.xml,success,200,corpus_raw\wsi_2018_1303.xml
wsi_2018_1302,The Climate Change (International Aviation and International Shipping) (Wales) Regulations 2018 / Rheoliadau Newid yn yr Hinsawdd (Hedfan Rhyngwladol a Morgludiant Rhyngwladol) (Cymru) 2018,wsi/2018/1302,2018-12-06T04:01:57.198352+01:00,"These Regulations provide a formula for determining what emissions of greenhouse gases from international aviation and international shipping are to be regarded as Welsh emissions for the purposes of section 34(2) of the Environment (Wales) Act 2016.,Mae’r Rheoliadau hyn yn darparu fformiwla ar gyfer canfod pa allyriadau nwyon tŷ gwydr o hedfan rhyngwladol a morgludiant rhyngwladol sydd i’w hystyried yn allyriadau Cymru at ddibenion adran 34(2) o Ddeddf yr Amgylchedd (Cymru) 2016.",uksi:climate change,http://www.legislation.gov.uk/wsi/2018/1302/made/data.xml,success,200,corpus_raw\wsi_2018_1302.xml
uksi_2018_1205,The Climate Change Agreements (Amendment of Agreements) (EU Exit) Regulations 2018,uksi/2018/1205,2018-11-22T13:32:48.273354+01:00,"These Regulations make amendments to agreements made pursuant to the Climate Change Agreement scheme established under Schedule 6 to the Finance Act 2000 (c.17), including in consequence of the withdrawal of the United Kingdom from the European Union.",uksi:climate change,http://www.legislation.gov.uk/uksi/2018/1205/2020-12-31/data.xml,success,200,corpus_raw\uksi_2018_1205.xml
uksi_2018_118,The Climate Change Levy (General) (Amendment) Regulations 2018,uksi/2018/118,2018-02-01T10:36:56.839404+01:00,These Regulations amend the Climate Change Levy (General) Regulations 2001 (“the General Regulations”) (S.I. 2001/838).,uksi:climate change,http://www.legislation.gov.uk/uksi/2018/118/made/data.xml,success,200,corpus_raw\uksi_2018_118.xml
uksi_2016_1189,The Climate Change Agreements (Administration) (Amendment and Related Provision) Regulations 2016,uksi/2016/1189,2016-12-08T13:34:23.779+01:00,These Regulations amend the Climate Change Agreements (Administration) Regulations 2012 with regard to the terms which must be included in both umbrella agreements (which are the agreements between the administrator and the sector associations) and underlying agreements (which are the agreements between the administrator and the operators). These Regulations also make provision for the administrator (the Environment Agency) to be able to vary existing agreements as a result of those amendments.,uksi:climate change,http://www.legislation.gov.uk/uksi/2016/1189/made/data.xml,success,200,corpus_raw\uksi_2016_1189.xml
uksi_2016_786,The Climate Change Act 2008 (Credit Limit) Order 2016,uksi/2016/786,2016-07-22T03:04:26.576+01:00,"This Order sets a limit of the net amount of carbon units that may be credited to the net UK carbon account for the 2018-2022 budgetary period of 55,000,000 carbon units. Article 3(2) sets out certain carbon units which are excluded from the level of the limit. They are carbon units credited to and debited from the net UK carbon account as a result of the operation of the EU emissions trading scheme during the 2018-2022 budgetary period in accordance with regulations made under section 27(3) of the Climate Change Act 2008. Carbon units are defined in regulation 3 of the Carbon Accounting Regulations 2009 (S.I. 2009/1257).",uksi:climate change,http://www.legislation.gov.uk/uksi/2016/786/made/data.xml,success,200,corpus_raw\uksi_2016_786.xml
uksi_2015_947,The Climate Change Levy (General) (Amendment) Regulations 2015,uksi/2015/947,2016-01-26T00:00:00+01:00,"Section 63 of the Finance Act 2015 (c.11) amended Schedule 6 to the Finance Act 2000 (c.17) to provide that, with effect from 1st April 2015, the carbon price support rates of climate change levy do not apply to carbon price support rate commodities used to generate electricity that is included in the CHP Qualifying Power Output of a combined heat and power station's CHPQA scheme and is either self-supplied or supplied by a person who is an exempt unlicensed electricity supplier.",uksi:climate change,http://www.legislation.gov.uk/uksi/2015/947/made/data.xml,success,200,corpus_raw\uksi_2015_947.xml
